idx,A,B,C,mu,alpha,ehomo,elumo,egap,R2,zpve,U0,U,H,G,Cv,E
1121,1.92106,0.72697,0.66824,2.7461,70.02,0.04596,-0.24992,0.29588,1822.3513,0.186028,-573.631264,-573.619678,-573.618734,-573.668638,42.567,-573.81729146
1122,1.54875,0.93713,0.76033,4.3923,70.27,0.0385,-0.24064,0.27914,1652.0235,0.185904,-573.626063,-573.61438,-573.613436,-573.663653,42.655,-573.811966727
1123,2.1404,0.91613,0.80443,3.3734,70.37,0.05451,-0.25082,0.30533,1547.733,0.187596,-573.637496,-573.626665,-573.625721,-573.673294,40.77,-573.82509155
1124,1.82671,0.87444,0.74752,4.2723,70.24,0.04767,-0.24765,0.29532,1651.7606,0.18591,-573.625687,-573.613963,-573.613019,-573.663308,42.691,-573.81159792
1125,2.36341,0.67867,0.64169,4.569,70.43,0.04625,-0.24847,0.29472,1857.1416,0.185971,-573.627389,-573.615663,-573.614719,-573.665023,42.592,-573.813360126
1126,2.12747,0.82278,0.65264,4.4991,70.6,0.04795,-0.24327,0.29122,1743.2108,0.186311,-573.632033,-573.620611,-573.619666,-573.669193,42.222,-573.818343945
1127,1.91956,0.77172,0.69442,4.555,70.12,0.03415,-0.25038,0.28453,1749.0503,0.186125,-573.622982,-573.611307,-573.610362,-573.66046,42.712,-573.809106739
1128,2.62884,0.69097,0.6403,3.4748,70.7,0.0496,-0.24966,0.29926,1828.6304,0.185964,-573.632863,-573.621223,-573.620279,-573.669953,42.574,-573.818826289
1129,2.06202,0.89557,0.71671,3.877,70.46,0.03153,-0.24266,0.27419,1637.7559,0.186873,-573.628366,-573.617249,-573.616305,-573.664751,41.756,-573.815238867
1130,1.8678,0.89417,0.75197,3.5738,70.22,0.04681,-0.24659,0.2934,1631.5153,0.186617,-573.631452,-573.620032,-573.619088,-573.668308,41.916,-573.818068702
1131,1.53719,0.96229,0.85705,2.413,70.16,0.04858,-0.24719,0.29577,1565.6002,0.185228,-573.623665,-573.611643,-573.610699,-573.66105,43.484,-573.808893093
1132,1.58575,1.03093,0.85829,4.5445,70.35,0.0414,-0.24381,0.28521,1523.85,0.18501,-573.61963,-573.607498,-573.606553,-573.657509,43.45,-573.80463981
1133,2.1499,0.76143,0.63381,4.8461,70.72,0.03954,-0.25135,0.29089,1805.6887,0.18638,-573.629568,-573.618253,-573.617309,-573.66671,41.941,-573.815948479
1134,1.61893,0.97651,0.69526,3.4259,70.27,0.0317,-0.24987,0.28157,1671.0961,0.185299,-573.622226,-573.610255,-573.60931,-573.660292,43.291,-573.807524814
1135,2.13482,0.74929,0.66471,3.5092,70.2,0.04368,-0.25022,0.2939,1781.485,0.186604,-573.631914,-573.620627,-573.619683,-573.668735,41.991,-573.818518395
