molecule_id,index,smi1,smi2,smi3,rmsd1,rmsd2,rmsd3,mmffenergy
6,61,[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],0.02099172511400088,5.5734161256343394e-05,0.0209870016307588,-8.58408276261035
6,64,[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],0.04626229105682734,6.745175104551582e-05,0.04627221740182514,-8.867560449875176
6,65,[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(C(=O)N([H])[H])c([H])c(N([H])[H])c1[H],0.03400402475097826,6.768870998269563e-05,0.034010984246051035,-8.968712639986556
7,70,[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0.05025146941444597,5.365749035062378e-05,0.05024331701823426,17.23995327200793
7,72,[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0.0719018554855802,5.674702770365918e-05,0.07190825878225153,16.099065317705094
7,73,[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0.10134205414352752,6.027442599500109e-05,0.10134893514770096,17.68129879259927
7,91,[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0.02638824604467141,6.413687999734679e-05,0.026354461488729504,16.07664358943143
7,94,[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[H]C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0.060394479966436376,7.676512722545909e-05,0.06037649483524395,16.680708416476435
8,97,[H]Oc1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H],[H]Oc1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H],[H]Oc1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H],0.01084267182633137,4.9143962747286624e-05,0.010848210165093549,20.255630458840717
8,99,[H]Oc1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H],[H]Oc1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H],[H]Oc1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H],0.011946900763500284,5.210330400306388e-05,0.011938329133136851,20.100467687932852
