step,epoch,Cyclic_train,Cyclic_val,Cyclic_test,Decay_train,Decay_val,Decay_test
361000,364.6464646,1.1531,1.2309,1.2117,1.0574,1.2126,1.2491
362000,365.6565657,1.2236,1.2552,1.3102,1.4413,1.2128,1.2492
363000,366.6666667,1.1486,1.1785,1.1204,1.1897,1.216,1.2501
364000,367.6767677,1.4778,1.2147,1.2936,1.1965,1.2103,1.2504
365000,368.6868687,1.1785,1.2505,1.2044,0.9427,1.2144,1.2489
366000,369.6969697,1.1393,1.3544,1.3159,1.1222,1.2143,1.2501
367000,370.7070707,1.4122,1.3042,1.3307,1.719,1.213,1.2485
368000,371.7171717,1.0294,1.1832,1.2377,1.3555,1.2138,1.2481
369000,372.7272727,1.0814,1.3366,1.2892,1.4598,1.2159,1.253
370000,373.7373737,1.3942,1.186,1.1197,1.1326,1.2134,1.25
371000,374.7474747,1.0699,1.114,1.1797,1.1746,1.213,1.2492
372000,375.7575758,1.1794,1.3077,1.3256,1.1805,1.2133,1.248
373000,376.7676768,1.0334,1.0152,1.0179,1.4618,1.213,1.2478
374000,377.7777778,1.1087,1.0946,1.1437,1.1504,1.2139,1.2491
375000,378.7878788,1.3095,1.0733,1.083,1.103,1.2133,1.2494
376000,379.7979798,0.9889,1.0154,1.0175,1.1527,1.2126,1.2493
377000,380.8080808,0.9434,1.0407,1.0995,1.2458,1.2129,1.2485
378000,381.8181818,1.2076,1.0003,1.072,1.2773,1.2144,1.2494
379000,382.8282828,1.1446,1.1308,1.157,1.2302,1.2126,1.2482
380000,383.8383838,1.0084,0.9498,0.9944,1.2271,1.2106,1.2478
381000,384.8484848,0.9758,0.9676,1.0258,1.221,1.2135,1.2503
382000,385.8585859,0.9742,1.093,1.1535,1.2564,1.2129,1.2483
383000,386.8686869,1.0169,0.9588,0.9992,1.051,1.2143,1.2494
384000,387.8787879,0.8787,0.9668,0.9578,1.2552,1.2139,1.2495
385000,388.8888889,0.9442,0.9737,1.0098,1.2415,1.2142,1.2487
386000,389.8989899,0.8866,0.912,0.9252,1.2192,1.2135,1.2496
387000,390.9090909,0.8141,0.8978,0.9327,1.137,1.2148,1.2489
388000,391.9191919,0.9161,0.8914,0.923,1.2809,1.2122,1.2481
389000,392.9292929,1.0423,0.8838,0.9101,1.1006,1.2129,1.2487
390000,393.9393939,0.8549,0.891,0.9126,1.1293,1.2127,1.2479
391000,394.9494949,0.7202,0.8688,0.9102,1.3172,1.2143,1.2502
392000,395.959596,1.1957,0.8791,0.9024,1.2373,1.2139,1.2508
393000,396.969697,0.9263,0.8684,0.8982,1.0902,1.2121,1.248
394000,397.979798,0.7142,0.8743,0.8982,1.0831,1.2139,1.2502
395000,398.989899,0.8042,0.8683,0.8956,1.2174,1.2116,1.2474
396000,400,0.9713,0.8649,0.8954,1.0611,1.2131,1.2485
