molecule_id,MAE_mean,MAE_std
65,2.621622610891899,0.6706555721234355
67,1.918673481980584,0.6816094489809305
68,1.373724051490306,0.424210150990131
69,0.5395807913773911,0.37494821762602987
70,1.8562141384007718,0.23546741130722113
71,3.8613898289982225,1.7615373449950393
72,2.728183949795455,0.6464481337620925
73,2.060220366773444,0.8877038678229539
74,0.6891140323969269,0.21109484300209216
53,2.8687032057331088,1.0289889435229507
54,0.006756019925410986,0.00551626716977766
55,2.9961632261334565,0.777368045185977
56,7.536461097197528,2.319632879192274
57,0.8120931776961913,0.29989535022623637
59,2.9057319983867744,1.9908318915499574
61,1.821832723279607,0.12247575008766283
63,0.279248823583654,0.26121335587742806
