molecule_id,MAE_mean,MAE_std
1,0.5187121964874615,0.078494268598632
2,0.2882568501472801,0.12591113935698545
3,0.15538845828038356,0.08408161676172124
4,1.5298631786643644,0.2928724800933387
5,0.17115250477930574,0.17709422838396235
6,0.29501287006959726,0.14307776432646727
7,0.7098324934945845,0.24366004199179203
8,0.3242889564085899,0.17215703354109382
9,2.220356818729284,0.663383947590423
10,0.05630016604733321,0.05184508631984802
11,2.7643493013610536,0.67738953848971
12,1.8272218889929852,0.2918705489958912
13,1.332287129282004,0.3792518261042206
14,0.9203680904291884,0.25247649810487127
15,0.18916855791196915,0.17723735799064444
16,0.4256292553000778,0.382801385750387
17,0.8251352335643938,0.2287825950134625
18,0.45426191118159875,0.09763196066343033
19,0.7512694157064022,0.2644496410017361
20,0.7878645236315982,0.21911677447249703
21,0.1463804317163385,0.05085747041166359
22,0.8288135110776093,0.511590034025252
23,1.2075321880811307,0.24218570540600032
24,1.9456573993109914,0.5268059518828715
25,4.975433340619044,2.9981658706467753
