molecule_id,MAE_mean,MAE_std
1,0.8054677088783743,0.36524959018838765
2,0.8422504840302281,0.3426752052031786
3,0.16439648483647035,0.09191939676132127
4,1.0284163664250325,0.16582817581400386
5,0.6440738995617721,0.42790496660343197
6,0.5427336006774567,0.1247070918227879
7,0.7143365067755802,0.16882781774640856
8,0.6170498198538553,0.2886085116745468
9,5.327273873802954,0.7990215358505252
10,1.520104483200703,0.7004790548310212
11,23.09457337974414,1.3745685706254394
12,2.0108542639109754,0.29505109196456625
13,1.2467108768993058,0.5908702399503688
14,0.4167833732109051,0.12776644473601478
15,0.3152809298539069,0.10776740075073303
16,0.8129743977042381,0.4893336308199443
17,2.2943443666689562,0.7708871037082577
18,0.9271833059577537,0.37702719608877705
19,1.0593439243081957,0.4000760629285447
20,0.602299176347442,0.041479737170893566
21,0.5202135342580732,0.2038532533381573
22,0.595505622983328,0.17187442293122362
23,1.079198943231038,0.13102163955777663
24,2.3930051593415804,0.45951134486506295
25,22.815829956985546,2.7867740773264438
